word,x,y
current,12.9884799814,-2.16384810163
board,12.8788173736,-35.6334455218
football,-46.418323556,4.37102184042
ministry,7.99600330408,-33.3154654101
workers,27.8129273692,14.2218960362
vote,21.6216790808,-44.8039045428
book,-27.914755221,-14.1858428559
fell,28.6615732565,34.5540120539
seen,-1.35181988079,-5.21623568375
role,-8.08775259044,-5.82533006695
students,-17.127376258,-38.5546548949
shares,31.8218051018,31.5943283166
iran,45.2888542178,-6.16853880745
process,15.640833009,-9.59413242104
agreement,34.2569279942,-5.54629835061
quarter,26.2071541201,26.5881868497
full,0.515341152831,6.8175507533
match,-40.7157069547,9.32404529859
started,-16.3696810606,13.4390774721
growth,24.2241763057,25.5404810491
yet,-0.946315999321,-8.82060972105
moved,-13.536334166,11.3759917214
possible,15.2301582307,-4.38932332101
western,2.11499307731,33.9718201777
special,6.91276436298,6.84564495018
100,-15.89937405,40.3523507604
plans,29.3614032937,-5.19110272457
interest,31.7555608705,24.8028784197
behind,-8.85288628061,5.69095268311
strong,18.5820194803,-1.96427172958
england,11.9999113302,23.4998230275
named,-20.7616044944,-9.88769797012
food,17.2688981666,20.6149055681
period,-17.0676335655,17.4354282427
real,0.453347666251,-10.1478574546
authorities,17.4376691492,-29.4076066072
car,0.284704769892,43.7588093896
term,12.6321363622,-1.07234885342
rate,23.1143237481,30.8418108706
race,-41.8990217775,16.8759578779
nearly,-16.6901088797,38.6130006426
korea,46.3868062046,12.5293637695
enough,6.45987814783,-10.4080746221
site,0.812637746179,24.1775678055
opposition,21.0361069822,-37.8267161906
keep,5.96533851867,-16.2953192538
25,-23.6918692896,42.6003592709
call,12.9153082922,-24.2789118549
future,13.9725271568,-6.10956026889
taking,-8.48763776754,4.22195042586
island,4.51874634778,30.2512002598
2008,-35.5963023581,33.2745777229
2006,-36.0060350612,34.0201384733
road,-4.55497649531,34.8399824562
outside,-5.57935442949,26.7046004344
really,-5.38073254717,-19.0942719384
century,-23.220542208,-15.2881808752
democratic,19.613082674,-41.863330997
almost,-10.2358227368,5.15388347153
single,-29.6101395343,11.0754914337
share,29.3689116583,31.0043020655
leading,-3.37850657855,14.618537494
trying,12.2672265438,-16.2302655188
find,0.0366276997434,-15.4378624229
album,-33.3484365526,-10.9522559294
senior,-3.86689180476,-41.1549188297
minutes,-31.4876439343,22.7628445349
together,-15.3818358615,-5.43770341084
congress,16.2489621481,-41.5551515531
index,31.826716042,33.8195426429
australia,40.9171137415,8.53311163981
results,14.2760249244,12.9939740355
hard,-4.21303307262,-9.56728789805
hours,-28.2491432108,22.734578504
land,6.52793814448,28.1109268977
action,23.6784935438,-14.2978414854
higher,24.918352932,32.1840418776
field,-3.05495070494,12.2326110503
cut,28.1185970003,19.0992098052
coach,-45.8718678653,2.02094932546
elections,23.982303477,-42.0251592466
san,-41.754869385,-15.6982157815
issues,25.6034362054,-5.78686529021
executive,-3.54905947238,-43.6534256231
february,-33.8693629707,39.1225027195
production,15.3260098778,17.0032526036
areas,0.892066284884,27.350042278
river,-3.12890822769,32.8843495481
face,-9.58221957991,-7.15668072299
using,12.0387008718,8.9285243522
japanese,49.7807886857,13.1240462296
province,3.68134437486,33.2540991146
park,-29.1578507612,5.98818281843
price,26.4086365671,30.1886070217
commission,13.8636383785,-36.4003273622
california,-47.5321422895,-15.2260695625
father,-25.8051796122,-28.6615612167
son,-26.242390362,-28.6604877297
education,28.572474582,0.558486060119
7,-26.3626083072,39.9351729048
village,-1.9477483179,29.3883507117
energy,25.5992426766,4.36357775905
shot,-21.8062943103,6.8260086415
short,-6.52065851835,4.31029682681
africa,41.2504756798,10.3781034188
key,-1.90291108492,13.7677633728
red,-23.0468420671,1.5572241618
association,-6.98368496823,-35.1607019445
average,-16.3172923586,45.5043387376
pay,30.1861706168,20.0299902426
exchange,33.7678379686,31.0475611409
eu,38.9303840038,1.66325996857
something,-4.4157169581,-18.0319628933
gave,-17.5964838072,4.93103120077
likely,8.63061084344,-7.15356681971
player,-43.3878664832,3.60120255462
george,-35.3303097254,-29.7766634712
2007,-35.3540644149,34.2296427859
victory,-38.418005903,16.5490887275
8,-25.7263585635,39.8935631605
low,22.9692204763,33.0608718629
things,-5.22333269474,-18.3118690735
2010,-33.8281740996,34.035553567
pakistan,44.2253981704,8.93612841349
14,-25.3684495281,42.2348638667
post,-6.1496331525,8.95491660602
social,28.1299791598,-0.298949376051
continue,11.9709554786,-11.9868913492
ever,-1.78484125056,-10.3030299791
look,-7.35301157243,-12.6857999738
chairman,-3.02153707424,-43.4492304505
job,-11.6981445325,-16.5038811051
2000,-36.7660905887,36.137602301
soldiers,42.9828677592,-17.6717822042
able,6.99844835326,-12.3025390423
parliament,13.291067181,-41.5468819392
front,-16.2805602865,2.37752301101
himself,-14.1351901785,-20.0249052648
problems,19.6504641378,-4.86066413915
private,22.0650102395,15.6349294401
lower,24.8366378166,32.8035410221
list,4.22072479851,8.75305305437
built,6.19812235913,22.1260662025
13,-25.4139484606,42.8470554854
efforts,17.5728228597,-12.4898945367
dollar,36.2261339392,29.228818798
miles,-10.6186413092,36.1977969414
included,4.60690920722,7.289019647
radio,-39.7380438835,-4.66731524174
live,-28.3854802142,-4.72585946357
form,6.96793359117,5.04136574185
david,-35.6574357148,-25.7156737254
african,9.02275153404,15.4885157251
increase,25.0844673884,22.8200918109
reports,7.45985791879,-29.90462929
sent,6.73769055762,-23.1533881513
fourth,-32.0014999334,14.8092622718
always,-5.52679294426,-16.9596599665
king,-27.758424642,-25.0460847415
50,-16.7300314118,40.5516363948
tax,30.8487264919,17.9499230409
taiwan,46.7291404785,13.5585949562
britain,40.8854403825,5.40458277251
16,-25.3684981626,43.8327692998
playing,-41.7202827716,3.51340245512
title,-39.0913112528,12.5896758592
middle,-4.72821925847,12.9179885014
meet,5.03228339427,-37.4350212458
global,31.3490345258,11.122901837
wife,-24.8803445708,-28.8313819596
2009,-34.9471114372,33.4016395705
position,-4.3764765536,2.36905228724
located,-1.42774941189,30.835621055
clear,1.5666124673,-8.81640555071
ahead,-29.2747912646,18.1137547167
2004,-36.7252181327,33.9974110254
2005,-35.9959287813,34.9203502464
iraqi,46.0701817663,-13.7329691076
english,-18.8787152882,-17.9977735866
result,16.6257402585,-0.701662040658
release,-39.3120534663,26.8839498084
violence,44.7928580658,-22.5283037176
goal,-36.2482537495,22.2999108379
project,25.585559932,6.52606959926
closed,-11.631192712,12.2897724148
border,1.63106444567,31.1612772246
body,-15.1804309474,-1.27313014519
soon,-14.5908572237,8.2381133521
crisis,23.0110330892,-5.57298537551
division,16.5528044697,13.7061036773
&amp;,15.2314772743,34.0111018764
served,-8.81989645394,-39.5493894178
tour,-28.0086778277,15.0024583776
hospital,-10.0987075164,-28.6031517341
kong,44.0821592783,15.6527143503
test,45.7738866898,25.125172459
hong,44.8126139576,15.4260544163
u.n.,37.897497834,-12.6488303489
inc.,16.0357621057,33.7101795417
technology,23.0111817257,9.95148008097
believe,1.22520327488,-16.1735814763
organization,26.2332565998,-18.9896680133
published,-27.6869366171,-17.3635284377
weapons,42.7100092551,-7.54754186265
agreed,33.4168588543,-5.96156233548
why,-0.649909543008,-18.3483856065
nine,-18.4526314457,30.5825473279
summer,-12.4193918749,24.1848545202
wanted,5.12873999221,-20.4550463995
republican,18.6909991978,-42.2641436887
act,30.5019248038,-14.6874218888
recently,-8.74831471636,-2.27696206653
texas,-47.7529332632,-14.51699375
course,-7.19683219091,3.80217063023
problem,19.8432845679,-5.63891751848
senate,16.6633887477,-42.2646667475
medical,22.0934538058,-17.0525561111
un,37.3626402713,-11.7219945955
done,-3.25953614793,-15.7784185279
reached,-12.4246979708,20.7483465227
star,-37.7226034589,-9.02449595407
continued,14.6263478238,-2.84161910515
investors,33.2818043659,26.9246716692
living,-19.3663177198,-24.6198249495
care,28.4010293042,2.51350927466
signed,-13.4404642476,28.6859095657
17,-26.0682185661,43.5595135579
art,-24.5398908303,-12.5340310716
provide,15.8703524723,7.69209293966
worked,-16.57106006,-7.14228059224
presidential,21.6083286111,-41.9590966966
